monthly_charge,city,longitude,latitude,zip_code,number_of_referrals,age,tenure_in_months,total_long_distance_charges,total_revenue,avg_monthly_long_distance_charges,total_charges,avg_monthly_gb_download,contract,number_of_dependents,payment_method,engagement_score,num_addon_services,offer,total_extra_data_charges,paperless_billing,total_refunds,multiple_lines,customer_status
65.6,Frazier Park,-118.999073,34.827662,93225,2,37,9,381.51,974.81,42,593.3,16.0,One Year,0,Credit Card,4,2,No Offer,0,Yes,0.0,No,0
-4.0,Glendale,-118.203869,34.162515,91206,0,46,9,96.21,610.28,10,542.4,10.0,Month-to-Month,0,Credit Card,4,0,No Offer,10,No,38.33,Yes,0
73.9,Costa Mesa,-117.922613,33.645672,92627,0,50,4,134.6,415.45,33,280.85,30.0,Month-to-Month,0,Bank Withdrawal,2,1,Offer E,0,Yes,0.0,No,1
98.0,Martinez,-122.115432,38.014457,94553,1,78,13,361.66,1599.51,27,1237.85,4.0,Month-to-Month,0,Bank Withdrawal,5,2,Offer D,0,Yes,0.0,No,1
83.9,Camarillo,-119.079903,34.227846,93010,3,75,3,22.14,289.54,7,267.4,11.0,Month-to-Month,0,Credit Card,3,1,No Offer,0,Yes,0.0,No,1
69.4,Midpines,-119.972762,37.581496,95345,0,23,9,150.93,722.38,16,571.45,73.0,Month-to-Month,3,Credit Card,5,1,Offer E,0,Yes,0.0,No,0
109.7,Lompoc,-120.550507,34.757477,93437,1,67,71,707.16,8611.41,9,7904.25,14.0,Two Year,0,Bank Withdrawal,8,4,Offer A,0,Yes,0.0,No,0
84.65,Napa,-122.27011,38.489789,94558,8,52,63,816.48,6214.28,12,5377.8,7.0,Two Year,0,Credit Card,4,2,Offer B,20,Yes,0.0,Yes,0
48.2,Simi Valley,-118.685703,34.296813,93063,0,68,7,73.71,414.06,10,340.35,21.0,Two Year,0,Bank Withdrawal,2,1,Offer E,0,Yes,0.0,No,0
90.45,Sheridan,-121.345074,38.984756,95681,3,43,65,1849.9,7807.8,28,5957.9,14.0,Two Year,1,Credit Card,9,4,No Offer,0,Yes,0.0,Yes,0
45.2,Rancho Santa Fe,-117.207121,32.99356,92091,0,47,54,0.0,2460.55,0,2460.55,10.0,Two Year,0,Credit Card,4,2,No Offer,0,No,0.0,No,0
116.8,Sunnyvale,-122.020456,37.378541,94086,2,25,72,1152.72,9609.47,16,8456.75,59.0,Two Year,2,Credit Card,9,4,No Offer,0,Yes,0.0,Yes,0
68.95,Antelope,-121.363411,38.715498,95843,0,58,5,93.25,444.75,18,351.5,10.0,Month-to-Month,0,Bank Withdrawal,1,0,No Offer,0,Yes,0.0,No,0
101.3,La Mesa,-117.01611,32.782501,91942,0,32,72,162.0,7423.25,2,7261.25,16.0,Two Year,0,Bank Withdrawal,6,3,Offer A,0,Yes,0.0,Yes,0
45.05,Los Olivos,-120.02609,34.70434,93441,0,39,56,0.0,2560.1,0,2560.1,19.0,Two Year,0,Bank Withdrawal,5,4,No Offer,0,No,0.0,No,0
95.75,Woodlake,-119.094348,36.464635,93286,9,58,71,1935.46,8784.86,27,6849.4,12.0,Two Year,2,Credit Card,6,2,Offer A,0,Yes,0.0,Yes,0
61.25,Point Reyes Station,-122.830646,38.060264,94956,0,52,34,0.0,1993.2,0,1993.2,20.0,One Year,1,Credit Card,7,3,No Offer,0,No,0.0,No,0
72.1,San Marcos,-117.166036,33.119028,92078,0,72,1,7.77,79.87,7,72.1,22.0,One Year,0,Bank Withdrawal,2,0,Offer E,0,Yes,0.0,Yes,0
62.7,Daly City,-122.48131,37.680844,94015,0,79,45,480.15,3271.65,10,2791.5,17.0,One Year,0,Credit Card,4,2,No Offer,0,No,0.0,No,1
25.1,Morgan Hill,-121.649371,37.161544,95037,0,67,1,0.0,25.1,0,25.1,9.0,Month-to-Month,0,Bank Withdrawal,1,0,No Offer,0,Yes,0.0,No,1
25.2,Ahwahnee,-119.739935,37.375816,93601,0,79,50,1571.5,2877.8,31,1306.3,0.0,One Year,0,Bank Withdrawal,1,0,No Offer,0,No,0.0,Yes,0
94.1,Carnelian Bay,-120.091806,39.227434,96140,1,26,13,566.28,1781.88,43,1215.6,52.0,Month-to-Month,0,Bank Withdrawal,5,2,No Offer,0,No,0.0,Yes,1
83.75,Alpaugh,-119.498771,35.869626,93201,1,30,23,802.93,2652.88,34,1849.95,30.0,Month-to-Month,2,Bank Withdrawal,3,0,Offer D,0,Yes,0.0,Yes,0
19.85,Keeler,-117.962461,36.560498,93530,0,22,3,9.36,66.56,3,57.2,0.0,Month-to-Month,0,Credit Card,0,0,No Offer,0,No,0.0,No,0
20.35,Korbel,-123.80458,40.7666,95550,0,34,4,49.72,126.07,12,76.35,0.0,Month-to-Month,0,Credit Card,0,0,Offer E,0,No,0.0,No,1
30.5,Palomar Mountain,-116.823091,33.309852,92060,1,37,1,0.0,30.5,0,30.5,19.0,Month-to-Month,1,Bank Withdrawal,2,1,No Offer,0,No,0.0,No,1
103.7,Parlier,-119.521126,36.622237,93648,10,37,55,1927.2,7603.95,35,5656.75,57.0,One Year,3,Bank Withdrawal,7,3,No Offer,20,Yes,0.0,No,0
20.4,Modesto,-121.108568,37.612612,95358,3,42,54,1063.8,2154.4,19,1090.6,0.0,Two Year,3,Credit Card,0,0,No Offer,0,No,0.0,No,0
19.6,Glen Ellen,-122.522642,38.368744,95442,0,64,26,980.2,1430.8,37,471.85,0.0,One Year,0,Bank Withdrawal,0,0,Offer C,0,Yes,21.25,No,0
19.7,Eureka,-124.108897,40.737431,95503,5,47,69,2648.91,4045.81,38,1396.9,0.0,Two Year,3,Bank Withdrawal,0,0,No Offer,0,No,0.0,No,0
91.2,Moss Beach,-122.502311,37.515556,94038,1,23,37,1591.37,4838.92,43,3247.55,51.0,One Year,3,Credit Card,4,0,Offer C,0,No,0.0,No,0
20.45,Los Angeles,-118.222274,34.001617,90058,5,48,49,2429.42,3330.32,49,900.9,0.0,One Year,0,Bank Withdrawal,0,0,Offer B,0,No,0.0,No,0
-2.0,Los Angeles,-118.185237,34.044271,90063,9,28,66,2888.82,10830.97,43,7942.15,41.0,One Year,0,Bank Withdrawal,9,4,No Offer,0,No,0.0,Yes,0
20.55,Calexico,-115.431225,32.690654,92231,0,28,67,1549.04,2861.91,23,1343.4,0.0,One Year,0,Bank Withdrawal,0,0,No Offer,0,No,30.53,No,0
39.4,Redding,-122.29467,40.677649,96003,4,33,20,0.0,825.4,0,825.4,22.0,Two Year,1,Credit Card,4,3,No Offer,0,Yes,0.0,No,0
25.1,San Martin,-121.606417,37.084697,95046,0,31,43,1317.52,2387.67,30,1070.15,0.0,Two Year,3,Bank Withdrawal,1,0,No Offer,0,Yes,0.0,Yes,0
89.8,Stockton,-121.348048,38.044523,95209,2,37,55,279.4,5239.0,5,4959.6,9.0,Month-to-Month,0,Bank Withdrawal,4,1,Offer B,0,Yes,0.0,Yes,0
94.75,Los Angeles,-118.272783,33.964131,90003,4,60,59,967.01,6564.66,16,5597.65,14.0,Month-to-Month,0,Bank Withdrawal,5,2,Offer B,0,Yes,0.0,Yes,0
20.3,Huntington Park,-118.217141,33.97803,90255,3,48,12,231.36,455.86,19,224.5,0.0,Two Year,3,Bank Withdrawal,0,0,No Offer,0,No,0.0,No,0
