iter	Logloss
0	0.5885810158
1	0.521732863
2	0.4894061384
3	0.4590707517
4	0.441781919
5	0.4268240344
6	0.4169529589
7	0.4009465657
8	0.3837469806
9	0.3779866017
10	0.3717192424
11	0.3678980981
12	0.3590712632
13	0.3547205648
14	0.3520534655
15	0.3466867112
16	0.3441991473
17	0.3406942248
18	0.3381482947
19	0.3354110613
20	0.3333974441
21	0.3318740868
22	0.3295064012
23	0.3281474261
24	0.3253133243
25	0.3237381352
26	0.3232375506
27	0.3221144473
28	0.3208804865
29	0.3197166877
30	0.3176564675
31	0.3160435939
32	0.3147683499
33	0.3136404032
34	0.3126744555
35	0.3118373714
36	0.3110961232
37	0.309226421
38	0.3083235872
39	0.3079219078
40	0.3076476458
41	0.3073442324
42	0.306588259
43	0.3054544626
44	0.3046161964
45	0.3040839567
46	0.3033363858
47	0.3012247531
48	0.3001560372
49	0.2998636759
50	0.2992072019
51	0.2987906762
52	0.2980233956
53	0.297835662
54	0.2966048766
55	0.2956117238
56	0.2950185727
57	0.2940251818
58	0.2932293978
59	0.2930081344
60	0.2925936038
61	0.2917063561
62	0.2912090913
63	0.2908406976
64	0.29058399
65	0.2901550434
66	0.2895221814
67	0.2881960525
68	0.2880358128
69	0.287067448
70	0.2867477856
71	0.2862973953
72	0.2852721101
73	0.2847111952
74	0.2842671655
75	0.283914223
76	0.2836713794
77	0.2833755089
78	0.2829683156
79	0.2827367563
80	0.282512867
81	0.2822754292
82	0.2819827816
83	0.2817472283
84	0.281526785
85	0.2813081425
86	0.2807268404
87	0.2805202086
88	0.28027191
89	0.2800424193
90	0.279857676
91	0.2795551562
92	0.2794174534
93	0.2792473167
94	0.2791050424
95	0.2784217653
96	0.2781937884
97	0.2780570619
98	0.2771197075
99	0.2762854453
100	0.2753609182
101	0.275174145
102	0.2749971237
103	0.274881805
104	0.2746849464
105	0.2741919276
106	0.2740283833
107	0.2738409032
108	0.2735691605
109	0.2734535276
110	0.2732733611
111	0.2730670156
112	0.2714539688
113	0.2711599628
114	0.2710493478
115	0.2708987857
116	0.2707122233
117	0.2701281749
118	0.2700077275
119	0.2698348692
120	0.2697287651
121	0.2692621955
122	0.2691606533
123	0.2690534432
124	0.2679569629
125	0.2678490866
126	0.2675896848
127	0.2672305646
128	0.2661775055
129	0.2655414985
130	0.2647769682
131	0.2646223243
132	0.2644565934
133	0.2642897219
134	0.2641780395
135	0.2638390556
136	0.2637571362
137	0.2636537739
138	0.2629926219
139	0.2626805547
140	0.2620919136
141	0.2619959616
142	0.2618190852
143	0.2616990635
144	0.2606112666
145	0.2605186598
146	0.2602549904
147	0.2601372792
148	0.2597069669
149	0.259553968
150	0.2594594187
151	0.2592558067
152	0.2590740145
153	0.2586812626
154	0.2584120252
155	0.2579484068
156	0.2577770142
157	0.257192455
158	0.2570778555
159	0.2567933555
160	0.2566374948
161	0.256475004
162	0.2563662468
163	0.2559778287
164	0.2558829068
165	0.2555570631
166	0.2554260324
167	0.2552401188
168	0.2551405776
169	0.2550509618
170	0.254555285
171	0.2544644809
172	0.2540758467
173	0.2538847236
174	0.2538209442
175	0.2537387504
176	0.2535573926
177	0.2533911352
178	0.2531590315
179	0.2530893132
180	0.252935733
181	0.2528436582
182	0.252136949
183	0.25201712
184	0.2519266139
185	0.2512199115
186	0.2510331917
187	0.250965846
188	0.2501393102
189	0.2496904923
190	0.2495653802
191	0.2493338236
192	0.2490834614
193	0.2489750007
194	0.2488373536
195	0.2487608083
196	0.2483830592
197	0.2481833539
198	0.2472834115
199	0.2471495154
200	0.2468180319
201	0.2466597617
202	0.2464634174
203	0.2461112905
204	0.2456879124
205	0.2456265585
206	0.2451283601
207	0.2448642433
208	0.2445784609
209	0.2442633781
210	0.243654217
211	0.2435767964
212	0.2435110985
213	0.2433538815
214	0.2432383481
215	0.2428576064
216	0.2426354582
217	0.2424884006
218	0.2419806187
219	0.2412559719
220	0.2409453946
221	0.2408668657
222	0.2402494325
223	0.2400029391
224	0.2398754737
225	0.239638097
226	0.2395045871
227	0.2392525686
228	0.2390123747
229	0.2389362246
230	0.2386327432
231	0.2385695141
232	0.2383066174
233	0.2380909851
234	0.2373715444
235	0.2367689248
236	0.2364918464
237	0.2364131701
238	0.2357578638
239	0.2356870559
240	0.2356116624
241	0.235527534
242	0.2352825738
243	0.2351094523
244	0.2348910205
245	0.2346055298
246	0.2344592459
247	0.233880908
248	0.2335158356
249	0.2332066015
250	0.2331386036
251	0.232937847
252	0.2327378245
253	0.232663422
254	0.2324969772
255	0.2324391716
256	0.2320029107
257	0.2318536247
258	0.2317541646
