iter	Passed	Remaining
0	16	1953
1	36	2053
2	55	2079
3	76	2138
4	96	2134
5	114	2107
6	134	2086
7	152	2060
8	172	2048
9	192	2042
10	213	2036
11	234	2036
12	259	2052
13	284	2069
14	305	2057
15	326	2040
16	348	2027
17	374	2040
18	396	2022
19	416	2000
20	436	1976
21	457	1956
22	481	1946
23	503	1928
24	523	1904
25	543	1880
26	563	1856
27	583	1833
28	603	1810
29	624	1791
30	645	1770
31	666	1749
32	686	1727
33	706	1704
34	729	1687
35	749	1664
36	768	1641
37	790	1623
38	812	1604
39	832	1581
40	853	1560
41	874	1539
42	893	1517
43	912	1493
44	930	1468
45	948	1443
46	967	1419
47	991	1403
48	1015	1389
49	1041	1374
50	1066	1359
51	1088	1339
52	1110	1319
53	1130	1298
54	1151	1276
55	1171	1255
56	1192	1234
57	1215	1215
58	1236	1194
59	1257	1173
60	1278	1152
61	1299	1131
62	1320	1110
63	1340	1089
64	1360	1067
65	1380	1045
66	1400	1024
67	1420	1002
68	1440	981
69	1461	960
70	1480	938
71	1500	917
72	1520	895
73	1540	874
74	1559	852
75	1579	831
76	1599	810
77	1619	788
78	1640	768
79	1661	747
80	1681	726
81	1701	705
82	1722	684
83	1742	663
84	1762	642
85	1781	621
86	1801	600
87	1821	579
88	1841	558
89	1862	538
90	1881	516
91	1899	495
92	1917	474
93	1937	453
94	1956	432
95	1974	411
96	1993	390
97	2012	369
98	2030	348
99	2049	327
100	2070	307
101	2089	286
102	2109	266
103	2128	245
104	2148	225
105	2168	204
106	2187	184
107	2208	163
108	2227	143
109	2247	122
110	2268	102
111	2288	81
112	2307	61
113	2327	40
114	2347	20
115	2366	0
