monthly_charge,city,zip_code,longitude,age,latitude,total_long_distance_charges,tenure_in_months,total_revenue,number_of_referrals,total_charges,avg_monthly_long_distance_charges,avg_monthly_gb_download,contract,number_of_dependents,payment_method,offer,engagement_score,paperless_billing,num_addon_services,gender,married,internet_type,customer_status
65.6,Frazier Park,93225,-118.999073,37,34.827662,381.51,9,974.81,2,593.3,42,16.0,One Year,0,Credit Card,No Offer,4,Yes,2,Female,Yes,Cable,0
-4.0,Glendale,91206,-118.203869,46,34.162515,96.21,9,610.28,0,542.4,10,10.0,Month-to-Month,0,Credit Card,No Offer,4,No,0,Male,No,Cable,0
73.9,Costa Mesa,92627,-117.922613,50,33.645672,134.6,4,415.45,0,280.85,33,30.0,Month-to-Month,0,Bank Withdrawal,Offer E,2,Yes,1,Male,No,Fiber Optic,1
98.0,Martinez,94553,-122.115432,78,38.014457,361.66,13,1599.51,1,1237.85,27,4.0,Month-to-Month,0,Bank Withdrawal,Offer D,5,Yes,2,Male,Yes,Fiber Optic,1
83.9,Camarillo,93010,-119.079903,75,34.227846,22.14,3,289.54,3,267.4,7,11.0,Month-to-Month,0,Credit Card,No Offer,3,Yes,1,Female,Yes,Fiber Optic,1
69.4,Midpines,95345,-119.972762,23,37.581496,150.93,9,722.38,0,571.45,16,73.0,Month-to-Month,3,Credit Card,Offer E,5,Yes,1,Female,No,Cable,0
109.7,Lompoc,93437,-120.550507,67,34.757477,707.16,71,8611.41,1,7904.25,9,14.0,Two Year,0,Bank Withdrawal,Offer A,8,Yes,4,Female,Yes,Fiber Optic,0
84.65,Napa,94558,-122.27011,52,38.489789,816.48,63,6214.28,8,5377.8,12,7.0,Two Year,0,Credit Card,Offer B,4,Yes,2,Male,Yes,Fiber Optic,0
48.2,Simi Valley,93063,-118.685703,68,34.296813,73.71,7,414.06,0,340.35,10,21.0,Two Year,0,Bank Withdrawal,Offer E,2,Yes,1,Female,No,DSL,0
90.45,Sheridan,95681,-121.345074,43,38.984756,1849.9,65,7807.8,3,5957.9,28,14.0,Two Year,1,Credit Card,No Offer,9,Yes,4,Female,Yes,Cable,0
45.2,Rancho Santa Fe,92091,-117.207121,47,32.99356,0.0,54,2460.55,0,2460.55,0,10.0,Two Year,0,Credit Card,No Offer,4,No,2,Male,No,Cable,0
116.8,Sunnyvale,94086,-122.020456,25,37.378541,1152.72,72,9609.47,2,8456.75,16,59.0,Two Year,2,Credit Card,No Offer,9,Yes,4,Female,Yes,Fiber Optic,0
68.95,Antelope,95843,-121.363411,58,38.715498,93.25,5,444.75,0,351.5,18,10.0,Month-to-Month,0,Bank Withdrawal,No Offer,1,Yes,0,Female,Yes,Fiber Optic,0
101.3,La Mesa,91942,-117.01611,32,32.782501,162.0,72,7423.25,0,7261.25,2,16.0,Two Year,0,Bank Withdrawal,Offer A,6,Yes,3,Female,No,Fiber Optic,0
45.05,Los Olivos,93441,-120.02609,39,34.70434,0.0,56,2560.1,0,2560.1,0,19.0,Two Year,0,Bank Withdrawal,No Offer,5,No,4,Female,No,DSL,0
95.75,Woodlake,93286,-119.094348,58,36.464635,1935.46,71,8784.86,9,6849.4,27,12.0,Two Year,2,Credit Card,Offer A,6,Yes,2,Female,Yes,Fiber Optic,0
61.25,Point Reyes Station,94956,-122.830646,52,38.060264,0.0,34,1993.2,0,1993.2,0,20.0,One Year,1,Credit Card,No Offer,7,No,3,Female,Yes,DSL,0
72.1,San Marcos,92078,-117.166036,72,33.119028,7.77,1,79.87,0,72.1,7,22.0,One Year,0,Bank Withdrawal,Offer E,2,Yes,0,Female,No,Fiber Optic,0
62.7,Daly City,94015,-122.48131,79,37.680844,480.15,45,3271.65,0,2791.5,10,17.0,One Year,0,Credit Card,No Offer,4,No,2,Male,No,DSL,1
