config,model,encoder,scaler,selector,accuracy,precision,recall,f1,best_params,auc_roc
RandomForest_onehot_standard_variance,RandomForest,onehot,standard,variance,0.9992902767920511,0.9992910278219008,0.9992902767920511,0.9992885040875608,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
XGBoost_onehot_standard_variance,XGBoost,onehot,standard,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_standard_variance,LightGBM,onehot,standard,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
LightGBM_onehot_standard_mutual_info,LightGBM,onehot,standard,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
XGBoost_onehot_standard_none,XGBoost,onehot,standard,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
XGBoost_onehot_standard_mutual_info,XGBoost,onehot,standard,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_standard_none,LightGBM,onehot,standard,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
XGBoost_onehot_minmax_mutual_info,XGBoost,onehot,minmax,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_minmax_mutual_info,LightGBM,onehot,minmax,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
LightGBM_onehot_minmax_variance,LightGBM,onehot,minmax,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
