iter	Logloss
0	0.6197460365
1	0.5596402527
2	0.5172190966
3	0.4739554733
4	0.4388464134
5	0.4116274313
6	0.3910205585
7	0.3732317355
8	0.3573916824
9	0.3421513859
10	0.3311766603
11	0.3253394179
12	0.3164392376
13	0.3079375083
14	0.3021878861
15	0.2964170738
16	0.2916417066
17	0.287103005
18	0.2838590417
19	0.2789816892
20	0.2761031893
21	0.2732375595
22	0.2694342373
23	0.2656125525
24	0.2627942428
25	0.2610430733
26	0.2579731154
27	0.2563392225
28	0.2537149545
29	0.2516253292
30	0.2500018525
31	0.2483823409
32	0.2463776707
33	0.2446851964
34	0.2434754783
35	0.2409926669
36	0.2391979473
37	0.2378233563
38	0.2368929764
39	0.2354371027
40	0.2341080606
41	0.2321498493
42	0.231044814
43	0.2298007108
44	0.2283784421
45	0.22755671
46	0.2261340189
47	0.2249533884
48	0.2238924232
49	0.2231293212
50	0.2221482574
51	0.2214550307
52	0.2208193128
53	0.2198379728
54	0.2183626153
55	0.2171339984
56	0.2159459903
57	0.2147653273
58	0.2131290131
59	0.2128218711
60	0.2120394803
61	0.2108445173
62	0.2100682528
63	0.208785507
64	0.2078532421
65	0.2065552538
66	0.2056414327
67	0.2050486474
68	0.2044923923
69	0.203416022
70	0.2024085682
71	0.2015654835
72	0.201059506
73	0.2003194303
74	0.1997868027
75	0.1990382933
76	0.1979199329
77	0.1969575567
78	0.1961413821
79	0.1950702931
80	0.1945209605
81	0.1939967991
82	0.1932436422
83	0.1927413372
84	0.1920298291
85	0.1911491743
86	0.1904768126
87	0.189849561
88	0.1888036108
89	0.1883282809
90	0.1875190938
91	0.1864699911
92	0.1858634908
93	0.1854192472
94	0.1846983791
95	0.1842381941
96	0.1836133151
97	0.1829358183
98	0.1822949817
99	0.1819373345
100	0.1812748041
101	0.1805925298
102	0.1797350801
103	0.1789018917
104	0.1780915672
105	0.1776997462
106	0.1772940314
107	0.1766407147
108	0.1760366032
109	0.1755077618
110	0.1750668332
111	0.1742877249
