iter	Passed	Remaining
0	2	238
1	3	206
2	5	202
3	7	195
4	8	188
5	10	183
6	12	183
7	13	181
8	15	178
9	17	178
10	19	177
11	21	176
12	22	173
13	24	171
14	26	169
15	27	166
16	29	163
17	30	161
18	32	159
19	34	158
20	36	157
21	38	156
22	40	154
23	41	153
24	43	152
25	45	150
26	47	148
27	48	146
28	50	145
29	52	143
30	54	141
31	56	140
32	57	137
33	59	135
34	60	133
35	62	132
36	64	130
37	66	128
38	68	127
39	69	125
40	71	123
41	73	121
42	74	119
43	76	118
44	78	116
45	79	114
46	81	112
47	83	111
48	85	109
49	87	108
50	88	106
51	90	104
52	92	102
53	93	100
54	95	98
55	97	97
56	99	95
57	100	93
58	102	92
59	104	90
60	105	88
61	107	86
62	109	84
63	110	83
64	112	81
65	114	79
66	116	77
67	117	76
68	119	74
69	120	72
70	122	70
71	124	69
72	125	67
73	127	65
74	129	63
75	130	62
76	132	60
77	134	58
78	135	56
79	137	54
80	139	53
81	140	51
82	142	49
83	144	48
84	145	46
85	147	44
86	149	42
87	150	41
88	152	39
89	154	37
90	155	35
91	157	34
92	159	32
93	160	30
94	162	29
95	164	27
96	166	25
97	167	23
98	169	22
99	170	20
100	172	18
101	174	17
102	175	15
103	177	13
104	179	11
105	181	10
106	182	8
107	184	6
108	186	5
109	187	3
110	189	1
111	191	0
