monthly_charge,city,zip_code,latitude,longitude,age,total_long_distance_charges,number_of_referrals,total_charges,avg_monthly_gb_download,tenure_in_months,avg_monthly_long_distance_charges,total_revenue,number_of_dependents,contract,payment_method,engagement_score,total_extra_data_charges,offer,internet_type,num_addon_services,paperless_billing,total_refunds,customer_status
65.6,Frazier Park,93225,34.827662,-118.999073,37,381.51,2,593.3,16.0,9,42,974.81,0,One Year,Credit Card,4,0,No Offer,Cable,2,Yes,0.0,0
-4.0,Glendale,91206,34.162515,-118.203869,46,96.21,0,542.4,10.0,9,10,610.28,0,Month-to-Month,Credit Card,4,10,No Offer,Cable,0,No,38.33,0
73.9,Costa Mesa,92627,33.645672,-117.922613,50,134.6,0,280.85,30.0,4,33,415.45,0,Month-to-Month,Bank Withdrawal,2,0,Offer E,Fiber Optic,1,Yes,0.0,1
98.0,Martinez,94553,38.014457,-122.115432,78,361.66,1,1237.85,4.0,13,27,1599.51,0,Month-to-Month,Bank Withdrawal,5,0,Offer D,Fiber Optic,2,Yes,0.0,1
83.9,Camarillo,93010,34.227846,-119.079903,75,22.14,3,267.4,11.0,3,7,289.54,0,Month-to-Month,Credit Card,3,0,No Offer,Fiber Optic,1,Yes,0.0,1
69.4,Midpines,95345,37.581496,-119.972762,23,150.93,0,571.45,73.0,9,16,722.38,3,Month-to-Month,Credit Card,5,0,Offer E,Cable,1,Yes,0.0,0
109.7,Lompoc,93437,34.757477,-120.550507,67,707.16,1,7904.25,14.0,71,9,8611.41,0,Two Year,Bank Withdrawal,8,0,Offer A,Fiber Optic,4,Yes,0.0,0
84.65,Napa,94558,38.489789,-122.27011,52,816.48,8,5377.8,7.0,63,12,6214.28,0,Two Year,Credit Card,4,20,Offer B,Fiber Optic,2,Yes,0.0,0
48.2,Simi Valley,93063,34.296813,-118.685703,68,73.71,0,340.35,21.0,7,10,414.06,0,Two Year,Bank Withdrawal,2,0,Offer E,DSL,1,Yes,0.0,0
90.45,Sheridan,95681,38.984756,-121.345074,43,1849.9,3,5957.9,14.0,65,28,7807.8,1,Two Year,Credit Card,9,0,No Offer,Cable,4,Yes,0.0,0
45.2,Rancho Santa Fe,92091,32.99356,-117.207121,47,0.0,0,2460.55,10.0,54,0,2460.55,0,Two Year,Credit Card,4,0,No Offer,Cable,2,No,0.0,0
116.8,Sunnyvale,94086,37.378541,-122.020456,25,1152.72,2,8456.75,59.0,72,16,9609.47,2,Two Year,Credit Card,9,0,No Offer,Fiber Optic,4,Yes,0.0,0
68.95,Antelope,95843,38.715498,-121.363411,58,93.25,0,351.5,10.0,5,18,444.75,0,Month-to-Month,Bank Withdrawal,1,0,No Offer,Fiber Optic,0,Yes,0.0,0
101.3,La Mesa,91942,32.782501,-117.01611,32,162.0,0,7261.25,16.0,72,2,7423.25,0,Two Year,Bank Withdrawal,6,0,Offer A,Fiber Optic,3,Yes,0.0,0
45.05,Los Olivos,93441,34.70434,-120.02609,39,0.0,0,2560.1,19.0,56,0,2560.1,0,Two Year,Bank Withdrawal,5,0,No Offer,DSL,4,No,0.0,0
95.75,Woodlake,93286,36.464635,-119.094348,58,1935.46,9,6849.4,12.0,71,27,8784.86,2,Two Year,Credit Card,6,0,Offer A,Fiber Optic,2,Yes,0.0,0
61.25,Point Reyes Station,94956,38.060264,-122.830646,52,0.0,0,1993.2,20.0,34,0,1993.2,1,One Year,Credit Card,7,0,No Offer,DSL,3,No,0.0,0
72.1,San Marcos,92078,33.119028,-117.166036,72,7.77,0,72.1,22.0,1,7,79.87,0,One Year,Bank Withdrawal,2,0,Offer E,Fiber Optic,0,Yes,0.0,0
62.7,Daly City,94015,37.680844,-122.48131,79,480.15,0,2791.5,17.0,45,10,3271.65,0,One Year,Credit Card,4,0,No Offer,DSL,2,No,0.0,1
25.1,Morgan Hill,95037,37.161544,-121.649371,67,0.0,0,25.1,9.0,1,0,25.1,0,Month-to-Month,Bank Withdrawal,1,0,No Offer,Cable,0,Yes,0.0,1
25.2,Ahwahnee,93601,37.375816,-119.739935,79,1571.5,0,1306.3,0.0,50,31,2877.8,0,One Year,Bank Withdrawal,1,0,No Offer,No Internet,0,No,0.0,0
94.1,Carnelian Bay,96140,39.227434,-120.091806,26,566.28,1,1215.6,52.0,13,43,1781.88,0,Month-to-Month,Bank Withdrawal,5,0,No Offer,Fiber Optic,2,No,0.0,1
